ItemName,Function,adjacentFunc
$Ed2e,"""([$dltt12mm] / ([PRICE] x ([SHSO] / 1000.0))) x 100.0""",['$dltt12mm']
$Erelstr1,"""[RETT from PDY-1 to PD]""",[]
$Eb2p1,"""(([$Ebve1] / ([SHSO] / 1000.0)) / [PRICE]) x 100.0""",['$Ebve1']
$Ecf2p,"""(([$Ecf] / ([SHSO] / 1000.0)) / [PRICE]) x 100.0""",['$Ecf']
$Einvcap,"""(if([$dltt12mm],[$dltt12mm],0.0)) + (if([$pstk12mm],[$pstk12mm],0.0)) + ([PRICE] x ([SHSO] / 1000.0))""",['$dltt12mm' '$pstk12mm']
$Ee2p,"""(([$Eearn] / ([SHSO] / 1000.0)) / [PRICE]) x 100.0""",['$Eearn']
$Eb2p2,"""(([$Ebve2] / ([SHSO] / 1000.0)) / [PRICE]) x 100.0""",['$Ebve2']
$Es2p2,"""(([$revt12m2] / ([SHSO] / 1000.0)) / [PRICE]) x 100.0""",['$revt12m2']
$mcap12mm,"""avg([MCAP on PDM-11],[MCAP on PDM-10],[MCAP on PDM-09],[MCAP on PDM-08],[MCAP on PDM-07],[MCAP on PDM-06],[MCAP on PDM-05],[MCAP on PDM-04],[MCAP on PDM-03],[MCAP on PDM-02],[MCAP on PDM-01],[MCAP])""",[]
$Epmar2,"""([$Eearn] / [$revt12m2]) x 100.0""",['$Eearn' '$revt12m2']
$Epmar4,"""([$Eearn] / [$revt12m4]) x 100.0""",['$Eearn' '$revt12m4']
$Epenr,"""([$pvpl] / ([PRICE] x ([SHSO] / 1000.0))) x 100.0""",['$pvpl']
$Eroic,"""([$Eearn] / (if([$Einvcap],[$Einvcap],[$icapt]))) x 100.0""",['$Eearn' '$Einvcap' '$icapt']
$Es2p4,"""(([$revt12m4] / ([SHSO] / 1000.0)) / [PRICE]) x 100.0""",['$revt12m4']
$EDNFY1,"""([$NUMDNFY1] / ([$NUMUPFY1] + [$NUMDNFY1])) x 100""",['$NUMDNFY1' '$NUMUPFY1']
$EPGRFY1,"""(([$MEANFY1] - [$LACTEPS]) / [$LACTEPS]) x 100""",['$LACTEPS' '$MEANFY1']
$EUPFY1,"""([$NUMUPFY1] / ([$NUMUPFY1] + [$NUMDNFY1])) x 100""",['$NUMDNFY1' '$NUMUPFY1']
$EDNFY2,"""([$NUMDNFY2] / ([$NUMUPFY2] + [$NUMDNFY2])) x 100""",['$NUMDNFY2' '$NUMUPFY2']
$EDNTFY1,"""([$NUMDNFY1] / [$NOEFY1]) x 100""",['$NOEFY1' '$NUMDNFY1']
$EDNTFY2,"""([$NUMDNFY2] / [$NOEFY2]) x 100""",['$NOEFY2' '$NUMDNFY2']
$EPGRFY2,"""(([$MEANFY2] - [$MEANFY1]) / [$MEANFY1]) x 100""",['$MEANFY1' '$MEANFY2']
$EPGRFY3,"""(([$MEANFY3] - [$MEANFY2]) / [$MEANFY2]) x 100""",['$MEANFY2' '$MEANFY3']
$EUPFY2,"""([$NUMUPFY2] / ([$NUMUPFY2] + [$NUMDNFY2])) x 100""",['$NUMDNFY2' '$NUMUPFY2']
